"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2024","63,264.00","63,264.00","63,264.00","63,264.00","","1.02%"
"05-02-2024","62,624.00","62,795.00","62,887.00","62,504.00","0.25K","-0.56%"
"02-02-2024","62,976.00","63,302.00","63,385.00","62,759.00","0.48K","-0.69%"
"01-02-2024","63,411.00","63,050.00","63,656.00","62,757.00","0.46K","0.47%"
"31-01-2024","63,113.00","62,825.00","63,223.00","62,787.00","0.25K","0.46%"
"30-01-2024","62,822.00","62,772.00","63,125.00","62,757.00","0.38K","0.14%"
"29-01-2024","62,737.00","62,656.00","62,910.00","62,575.00","0.13K","0.45%"
"25-01-2024","62,458.00","62,485.00","62,704.00","62,402.00","0.04K","-0.05%"
"24-01-2024","62,488.00","62,650.00","62,848.00","62,450.00","0.04K","-0.25%"
"23-01-2024","62,644.00","62,646.00","62,848.00","62,572.00","0.01K","0.09%"
"22-01-2024","62,589.00","62,640.00","62,650.00","62,510.00","0.01K","-0.19%"
"19-01-2024","62,711.00","62,600.00","62,876.00","62,600.00","0.02K","0.47%"
"18-01-2024","62,416.00","62,385.00","62,480.00","62,385.00","0.01K","-0.46%"
"17-01-2024","62,705.00","62,812.00","62,812.00","62,350.00","0.01K","-0.49%"
"16-01-2024","63,011.00","63,158.00","63,158.00","62,880.00","0.01K","-0.55%"
"15-01-2024","63,360.00","63,360.00","63,360.00","63,360.00","0.00K","-0.09%"
"12-01-2024","63,419.00","63,419.00","63,419.00","63,419.00","0.00K","0.90%"
"11-01-2024","62,855.00","62,855.00","62,855.00","62,855.00","","-0.20%"
"10-01-2024","62,981.00","62,981.00","62,981.00","62,981.00","","0.35%"
"09-01-2024","62,763.00","62,763.00","62,763.00","62,763.00","","0.00%"
"08-01-2024","62,763.00","62,779.00","62,779.00","62,729.00","0.01K","-0.71%"
"05-01-2024","63,213.00","63,213.00","63,213.00","63,213.00","0.00K","-0.41%"
"04-01-2024","63,476.00","63,476.00","63,476.00","63,476.00","0.00K","-0.17%"
"03-01-2024","63,585.00","64,000.00","64,000.00","63,170.00","0.00K","-0.74%"
"02-01-2024","64,059.00","64,217.00","64,217.00","63,901.00","0.00K","0.31%"
"01-01-2024","63,864.00","63,864.00","63,864.00","63,864.00","","-0.25%"
"29-12-2023","64,026.00","64,026.00","64,026.00","64,026.00","","0.00%"
"28-12-2023","64,026.00","64,026.00","64,026.00","64,026.00","0.00K","0.08%"
"27-12-2023","63,975.00","63,950.00","64,000.00","63,950.00","0.00K","0.43%"
"26-12-2023","63,698.00","63,715.00","63,715.00","63,690.00","0.01K","0.72%"
"22-12-2023","63,245.00","63,245.00","63,245.00","63,245.00","","0.16%"
"21-12-2023","63,141.00","63,141.00","63,141.00","63,141.00","","-0.31%"
"20-12-2023","63,335.00","63,335.00","63,335.00","63,335.00","","0.53%"
"19-12-2023","63,000.00","63,000.00","63,000.00","63,000.00","","0.22%"
"18-12-2023","62,861.00","62,861.00","62,861.00","62,861.00","","-0.53%"
